"vacc","unvacc"
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
1,1
1,1
1,1
1,1
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
2,3
2,4
2,4
2,4
2,4
2,4
2,5
2,5
2,5
2,6
3,6
3,6
3,7
3,7
3,7
3,8
4,8
4,9
4,9
4,10
5,10
5,11
5,12
5,12
6,13
6,14
6,15
7,15
7,16
8,17
8,18
9,19
9,20
10,21
10,23
11,24
11,25
12,27
13,28
13,30
14,32
15,34
16,36
17,38
18,40
19,42
20,44
21,47
22,50
23,52
25,55
26,59
28,62
29,66
31,69
33,73
34,77
36,82
38,87
41,91
43,97
45,102
48,108
51,114
54,121
57,128
60,135
63,143
67,151
71,159
75,168
79,178
83,188
88,198
93,210
98,221
104,234
110,247
116,261
122,275
129,291
137,307
144,324
152,342
161,361
170,381
179,403
189,425
200,448
211,473
222,499
234,526
247,555
261,585
275,616
290,650
305,685
322,721
339,760
357,800
376,842
396,887
417,933
439,982
462,1032
486,1085
511,1141
537,1198
565,1259
593,1322
623,1387
654,1455
686,1526
720,1600
755,1676
791,1755
829,1837
868,1921
908,2009
950,2099
993,2192
1037,2288
1083,2386
1130,2486
1178,2589
1228,2695
1279,2802
1330,2911
1383,3022
1437,3135
1492,3249
1547,3364
1603,3479
1659,3596
1716,3712
1773,3828
1830,3943
1887,4057
1944,4170
2000,4281
2055,4390
2110,4496
2164,4598
2216,4698
2266,4793
2315,4883
2362,4969
2407,5050
2449,5125
2489,5193
2526,5256
2561,5311
2592,5360
2620,5401
2644,5435
2666,5462
2683,5480
2697,5491
2707,5495
2714,5490
2716,5478
2715,5458
2711,5431
2702,5397
2690,5355
2675,5307
2656,5253
2634,5192
2608,5126
2580,5054
2549,4977
2515,4895
2478,4809
2439,4720
2398,4627
2356,4530
2311,4432
2265,4330
2217,4227
2168,4123
2118,4017
2068,3911
2016,3804
1964,3697
1912,3590
1860,3483
1807,3377
1755,3271
1703,3167
1651,3064
1600,2963
1549,2862
1499,2764
1449,2668
1400,2573
1352,2481
1305,2390
1259,2302
1214,2216
1170,2132
1127,2051
1085,1971
1044,1894
1005,1820
966,1747
928,1677
892,1610
857,1544
822,1481
789,1420
757,1361
726,1304
697,1249
668,1196
640,1146
613,1097
587,1050
562,1004
538,961
515,919
493,879
472,841
452,804
432,768
413,734
395,702
378,670
361,641
345,612
330,584
315,558
301,533
287,509
275,486
262,464
250,443
239,423
228,404
218,385
208,368
199,351
190,335
181,319
173,305
165,291
157,277
150,264
143,252
136,241
130,230
124,219
118,209
113,199
108,190
103,181
98,173
93,165
89,157
85,150
81,143
77,136
74,130
70,124
67,118
64,112
61,107
58,102
55,97
53,93
50,89
48,84
46,80
44,77
42,73
40,70
38,66
36,63
34,60
33,57
31,55
30,52
28,50
27,47
26,45
25,43
23,41
22,39
21,37
20,36
19,34
18,32
18,31
17,29
16,28
15,27
14,25
14,24
13,23
13,22
12,21
11,20
11,19
10,18
10,17
9,16
9,16
9,15
8,14
8,14
7,13
7,12
7,12
6,11
6,11
6,10
6,10
5,9
5,9
5,8
5,8
4,8
4,7
4,7
4,7
4,6
3,6
3,6
3,5
3,5
3,5
3,5
3,4
2,4
2,4
2,4
2,4
2,4
2,3
2,3
2,3
2,3
2,3
2,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
