"vacc","unvacc"
0,1
0,1
0,1
0,1
0,1
0,2
0,2
0,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,4
1,4
1,4
1,5
1,5
1,6
2,6
2,6
2,7
2,8
2,8
2,9
3,10
3,11
3,11
3,12
4,13
4,14
4,16
5,17
5,18
6,20
6,22
7,23
7,25
8,28
9,30
9,32
10,35
11,38
12,41
13,45
14,48
15,53
17,57
18,62
20,67
21,73
23,79
25,85
28,92
30,100
33,109
35,118
38,128
42,138
45,150
49,163
54,176
58,191
63,207
69,225
75,244
81,264
88,286
96,310
104,336
113,365
123,395
134,429
145,465
158,504
172,546
187,592
203,642
220,696
239,755
260,818
282,887
307,962
333,1042
362,1130
393,1225
427,1328
464,1439
504,1560
548,1691
595,1833
646,1986
701,2152
762,2332
827,2527
898,2738
975,2967
1058,3214
1148,3481
1246,3770
1352,4083
1467,4421
1591,4787
1726,5182
1872,5609
2030,6069
2200,6567
2385,7103
2584,7682
2799,8306
3032,8978
3283,9701
3553,10480
3844,11317
4158,12216
4495,13182
4858,14218
5248,15328
5666,16517
6114,17788
6594,19145
7107,20593
7655,22136
8239,23776
8861,25519
9522,27365
10223,29319
10965,31382
11750,33555
12576,35839
13446,38233
14357,40736
15311,43344
16305,46054
17338,48859
18407,51752
19510,54723
20642,57762
21801,60855
22979,63987
24172,67140
25373,70297
26574,73436
27767,76534
28945,79569
30097,82514
31214,85346
32287,88037
33305,90563
34260,92898
35142,95020
35941,96905
36651,98535
37263,99893
37771,100963
38170,101735
38457,102203
38629,102363
38685,102216
38626,101765
38452,101018
38168,99987
37778,98686
37287,97131
36701,95341
36028,93338
35276,91143
34452,88780
33566,86271
32626,83640
31640,80910
30618,78103
29567,75241
28496,72343
27411,69429
26320,66515
25229,63616
24143,60748
23069,57922
22010,55150
20970,52439
19953,49799
18962,47235
17999,44753
17066,42357
16165,40049
15296,37832
14461,35706
13660,33672
12892,31729
12159,29877
11459,28113
10792,26438
10157,24847
9555,23339
8983,21911
8441,20561
7928,19285
7442,18081
6984,16945
6551,15875
6143,14867
5758,13919
5396,13028
5055,12190
4734,11403
4432,10664
4149,9971
3882,9321
3633,8712
3398,8141
3178,7606
2972,7105
2779,6636
2598,6197
2428,5787
2269,5403
2120,5044
1981,4709
1851,4395
1729,4102
1615,3828
1509,3572
1409,3333
1316,3110
1229,2901
1147,2707
1071,2525
1000,2356
934,2197
871,2049
813,1912
759,1783
709,1663
662,1551
617,1446
576,1349
538,1258
502,1173
468,1094
437,1020
408,951
381,887
355,827
331,771
309,719
289,671
269,625
251,583
234,544
219,507
204,473
190,441
178,411
166,383
155,357
144,333
135,311
126,290
117,270
109,252
102,235
95,219
89,204
83,190
77,177
72,165
67,154
63,144
59,134
55,125
51,117
48,109
44,101
41,95
39,88
36,82
34,77
31,71
29,67
27,62
25,58
24,54
22,50
21,47
19,44
18,41
17,38
16,36
15,33
14,31
13,29
12,27
11,25
10,23
10,22
9,20
